No.					Name				Type1				Type2				Normal_Ability1		Normal_Ability2		Hidden_Ability		Catch_Rate			Egg_Group1			Egg_Group2			Egg_Cycle			Height(m)			Weight(kg)			HP					Attack				Defense				Spcial_Attack		Spcial_Defense		Speed				Total				
188					Skiploom			Grass				Flying				Chlorophyll			Leaf_Guard			Infiltrator			120					Fairy				Grass				5140				0.6					1.0					55					45					50					45					65					80					340					
189					Jumpluff			Grass				Flying				Chlorophyll			Leaf_Guard			Infiltrator			45					Fairy				Grass				5140				0.8					3.0					75					55					70					55					85					110					450					
190					Aipom				Normal				Unknown				Run_Away			Pickup				Skill_Link			45					Field				Unknown				5140				0.8					11.5				55					70					55					40					55					85					360					
191					Sunkern				Grass				Unknown				Chlorophyll			Solar_Power			Early_Bird			235					Grass				Unknown				5140				0.3					1.8					30					30					30					30					30					30					180					
192					Sunflora			Grass				Unknown				Chlorophyll			Solar_Power			Early_Bird			120					Grass				Unknown				5140				0.8					8.5					75					75					55					105					85					30					425					
193					Yanma				Bug					Flying				Speed_Boost			Compound_Eyes		Frisk				75					Bug					Unknown				5140				1.2					38.0				65					65					45					75					45					95					390					
194					Wooper				Water				Ground				Damp				Water_Absorb		Unaware				255					Water_1				Field				5140				0.4					8.5					55					45					45					25					25					15					210					
195					Quagsire			Water				Ground				Damp				Water_Absorb		Unaware				90					Water_1				Field				5140				1.4					75.0				95					85					85					65					65					35					430					
196					Espeon				Psychic				Unknown				Synchronize			Unknown				Magic_Bounce		45					Field				Unknown				8995				0.9					26.5				65					65					60					130					95					110					525					
197					Umbreon				Dark				Unknown				Synchronize			Unknown				Inner_Focus			45					Field				Unknown				8995				1.0					27.0				95					65					110					60					130					65					525					
198					Murkrow				Dark				Flying				Insomnia			Super_Luck			Prankster			30					Flying				Unknown				5140				0.5					2.1					60					85					42					85					42					91					405					
199					Slowking			Water				Psychic				Oblivious			Own_Tempo			Regenerator			70					Monster				Water_1				5140				2.0					79.5				95					75					80					100					110					30					490					
200					Misdreavus			Ghost				Unknown				Levitate			Unknown				Unknown				45					Amorphous			Unknown				6425				0.7					1.0					60					60					60					85					85					85					435					
201					Unown				Psychic				Unknown				Levitate			Unknown				Unknown				225					Undiscovered		Unknown				10280				0.5					5.0					48					72					48					72					48					48					336					
202					Wobbuffet			Psychic				Unknown				Shadow_Tag			Unknown				Telepathy			45					Amorphous			Unknown				5140				1.3					28.5				190					33					58					33					58					33					405					
203					Girafarig			Normal				Psychic				Inner_Focus			Early_Bird			Sap_Sipper			60					Field				Unknown				5140				1.5					41.5				70					80					65					90					65					85					455					
204					Pineco				Bug					Unknown				Sturdy				Unknown				Overcoat			190					Bug					Unknown				5140				0.6					7.2					50					65					90					35					35					15					290					
205					Forretress			Bug					Steel				Sturdy				Unknown				Overcoat			75					Bug					Unknown				5140				1.2					125.8				75					90					140					60					60					40					465					
206					Dunsparce			Normal				Unknown				Serene_Grace		Run_Away			Rattled				190					Field				Unknown				5140				1.5					14.0				100					70					70					65					65					45					415					
207					Gligar				Ground				Flying				Hyper_Cutter		Sand_Veil			Immunity			60					Bug					Unknown				5140				1.1					64.8				65					75					105					35					65					85					430					
208					Steelix				Steel				Ground				Rock_Head			Sturdy				Sheer_Force			25					Mineral				Unknown				6425				9.2					400.0				75					85					200					55					65					30					510					
209					Snubbull			Fairy				Unknown				Intimidate			Run_Away			Rattled				190					Field				Fairy				5140				0.6					7.8					60					80					50					40					40					30					300					
210					Granbull			Fairy				Unknown				Intimidate			Quick_Feet			Rattled				75					Field				Fairy				5140				1.4					48.7				90					120					75					60					60					45					450					
211					Qwilfish			Water				Poison				Poison_Point		Swift_Swim			Intimidate			45					Water_2				Unknown				5140				0.5					3.9					65					95					75					55					55					85					430					
212					Scizor				Bug					Steel				Swarm				Technician			Light_Metal			25					Bug					Unknown				6425				1.8					118.0				70					130					100					55					80					65					500					
213					Shuckle				Bug					Rock				Sturdy				Gluttony			Contrary			190					Bug					Unknown				5140				0.6					20.5				20					10					230					10					230					5					505					
214					Heracross			Bug					Fighting			Swarm				Guts				Moxie				45					Bug					Unknown				6425				1.5					54.0				80					125					75					40					95					85					500					
215					Sneasel				Dark				Ice					Inner_Focus			Keen_Eye			Pickpocket			60					Field				Unknown				5140				0.9					28.0				55					95					55					35					75					115					430					
216					Teddiursa			Normal				Unknown				Pickup				Quick_Feet			Honey_Gather		120					Field				Unknown				5140				0.6					8.8					60					80					50					50					50					40					330					
217					Ursaring			Normal				Unknown				Guts				Quick_Feet			Unnerve				60					Field				Unknown				5140				1.8					125.8				90					130					75					75					75					55					500					
218					Slugma				Fire				Unknown				Magma_Armor			Flame_Body			Weak_Armor			190					Amorphous			Unknown				5140				0.7					35.0				40					40					40					70					40					20					250					
219					Magcargo			Fire				Rock				Magma_Armor			Flame_Body			Weak_Armor			75					Amorphous			Unknown				5140				0.8					55.0				50					50					120					80					80					30					410					
220					Swinub				Ice					Ground				Oblivious			Snow_Cloak			Thick_Fat			225					Field				Unknown				5140				0.4					6.5					50					50					40					30					30					50					250					
221					Piloswine			Ice					Ground				Oblivious			Snow_Cloak			Thick_Fat			75					Field				Unknown				5140				1.1					55.8				100					100					80					60					60					50					450					
222					Corsola				Water				Rock				Hustle				Natural_Cure		Regenerator			60					Water_1				Water_3				5140				0.6					5.0					55					55					85					65					85					35					380					
223					Remoraid			Water				Unknown				Hustle				Sniper				Moody				190					Water_1				Water_2				5140				0.6					12.0				35					65					35					65					35					65					300					
224					Octillery			Water				Unknown				Suction_Cups		Sniper				Moody				75					Water_1				Water_2				5140				0.9					28.5				75					105					75					105					75					45					480					
225					Delibird			Ice					Flying				Vital_Spirit		Hustle				Insomnia			45					Water_1				Field				5140				0.9					16.0				45					55					45					65					45					75					330					
226					Mantine				Water				Flying				Swift_Swim			Water_Absorb		Water_Veil			25					Water_1				Unknown				6425				2.1					220.0				65					40					70					80					140					70					465					
227					Skarmory			Steel				Flying				Keen_Eye			Sturdy				Weak_Armor			25					Flying				Unknown				6425				1.7					50.5				65					80					140					40					70					70					465					
228					Houndour			Dark				Fire				Early_Bird			Flash_Fire			Unnerve				120					Field				Unknown				5140				0.6					10.8				45					60					30					80					50					65					330					
229					Houndoom			Dark				Fire				Early_Bird			Flash_Fire			Unnerve				45					Field				Unknown				5140				1.4					35.0				75					90					50					110					80					95					500					
230					Kingdra				Water				Dragon				Swift_Swim			Sniper				Damp				45					Water_1				Dragon				5140				1.8					152.0				75					95					95					95					95					85					540					
231					Phanpy				Ground				Unknown				Pickup				Unknown				Sand_Veil			120					Field				Unknown				5140				0.5					33.5				90					60					60					40					40					40					330					
232					Donphan				Ground				Unknown				Sturdy				Unknown				Sand_Veil			60					Field				Unknown				5140				1.1					120.0				90					120					120					60					60					50					500					
233					Porygon2			Normal				Unknown				Trace				Download			Analytic			45					Mineral				Unknown				5140				0.6					32.5				85					80					90					105					95					60					515					
234					Stantler			Normal				Unknown				Intimidate			Frisk				Sap_Sipper			45					Field				Unknown				5140				1.4					71.2				73					95					62					85					65					85					465					
235					Smeargle			Normal				Unknown				Own_Tempo			Technician			Moody				45					Field				Unknown				5140				1.2					58.0				55					20					35					20					45					75					250					
236					Tyrogue				Fighting			Unknown				Guts				Steadfast			Vital_Spirit		75					Undiscovered		Unknown				6425				0.7					21.0				35					35					35					35					35					35					210					
237					Hitmontop			Fighting			Unknown				Intimidate			Technician			Steadfast			45					Human-Like			Unknown				6425				1.4					48.0				50					95					95					35					110					70					455					
238					Smoochum			Ice					Psychic				Oblivious			Forewarn			Hydration			45					Undiscovered		Unknown				6425				0.4					6.0					45					30					15					85					65					65					305					
239					Elekid				Electric			Unknown				Static				Unknown				Vital_Spirit		45					Undiscovered		Unknown				6425				0.6					23.5				45					63					37					65					55					95					360					
240					Magby				Fire				Unknown				Flame_Body			Unknown				Vital_Spirit		45					Undiscovered		Unknown				6425				0.7					21.4				45					75					37					70					55					83					365					
241					Miltank				Normal				Unknown				Thick_Fat			Scrappy				Sap_Sipper			45					Field				Unknown				5140				1.2					75.5				95					80					105					40					70					100					490					
242					Blissey				Normal				Unknown				Natural_Cure		Serene_Grace		Healer				30					Fairy				Unknown				10280				1.5					46.8				255					10					10					75					135					55					540					
243					Raikou				Electric			Unknown				Pressure			Unknown				Inner_Focus			3					Undiscovered		Unknown				20560				1.9					178.0				90					85					75					115					100					115					580					
244					Entei				Fire				Unknown				Pressure			Unknown				Inner_Focus			3					Undiscovered		Unknown				20560				2.1					198.0				115					115					85					90					75					100					580					
245					Suicune				Water				Unknown				Pressure			Unknown				Inner_Focus			3					Undiscovered		Unknown				20560				2.0					187.0				100					75					115					90					115					85					580					
246					Larvitar			Rock				Ground				Guts				Unknown				Sand_Veil			45					Monster				Unknown				10280				0.6					72.0				50					64					50					45					50					41					300					
247					Pupitar				Rock				Ground				Shed_Skin			Unknown				Unknown				45					Monster				Unknown				10280				1.2					152.0				70					84					70					65					70					51					410					
248					Tyranitar			Rock				Dark				Sand_Stream			Unknown				Unnerve				45					Monster				Unknown				10280				2.0					202.0				100					134					110					95					100					61					600					
249					Lugia				Psychic				Flying				Pressure			Unknown				Multiscale			3					Undiscovered		Unknown				30840				5.2					216.0				106					90					130					90					154					110					680					
250					Ho-Oh				Fire				Flying				Pressure			Unknown				Regenerator			3					Undiscovered		Unknown				30840				3.8					199.0				106					130					90					110					154					90					680					
251					Celebi				Psychic				Grass				Natural_Cure		Unknown				Unknown				45					Undiscovered		Unknown				30840				0.6					5.0					100					100					100					100					100					100					600					
252					Treecko				Grass				Unknown				Overgrow			Unknown				Unburden			45					Monster				Dragon				5140				0.5					5.0					40					45					35					65					55					70					310					
253					Grovyle				Grass				Unknown				Overgrow			Unknown				Unburden			45					Monster				Dragon				5140				0.9					21.6				50					65					45					85					65					95					405					
254					Sceptile			Grass				Unknown				Overgrow			Unknown				Unburden			45					Monster				Dragon				5140				1.7					52.2				70					85					65					105					85					120					530					
255					Torchic				Fire				Unknown				Blaze				Unknown				Speed_Boost			45					Field				Unknown				5140				0.4					2.5					45					60					40					70					50					45					310					
256					Combusken			Fire				Fighting			Blaze				Unknown				Speed_Boost			45					Field				Unknown				5140				0.9					19.5				60					85					60					85					60					55					405					
257					Blaziken			Fire				Fighting			Blaze				Unknown				Speed_Boost			45					Field				Unknown				5140				1.9					52.0				80					120					70					110					70					80					530					
258					Mudkip				Water				Unknown				Torrent				Unknown				Damp				45					Monster				Water_1				5140				0.4					7.6					50					70					50					50					50					40					310					
259					Marshtomp			Water				Ground				Torrent				Unknown				Damp				45					Monster				Water_1				5140				0.7					28.0				70					85					70					60					70					50					405					
260					Swampert			Water				Ground				Torrent				Unknown				Damp				45					Monster				Water_1				5140				1.5					81.9				100					110					90					85					90					60					535					
261					Poochyena			Dark				Unknown				Run_Away			Quick_Feet			Rattled				255					Field				Unknown				3855				0.5					13.6				35					55					35					30					30					35					220					
262					Mightyena			Dark				Unknown				Intimidate			Quick_Feet			Moxie				127					Field				Unknown				3855				1.0					37.0				70					90					70					60					60					70					420					
263					Zigzagoon			Normal				Unknown				Pickup				Gluttony			Quick_Feet			255					Field				Unknown				3855				0.4					17.5				38					30					41					30					41					60					240					
264					Linoone				Normal				Unknown				Pickup				Gluttony			Quick_Feet			90					Field				Unknown				3855				0.5					32.5				78					70					61					50					61					100					420					
265					Wurmple				Bug					Unknown				Shield_Dust			Unknown				Run_Away			255					Bug					Unknown				3855				0.3					3.6					45					45					35					20					30					20					195					
266					Silcoon				Bug					Unknown				Shed_Skin			Unknown				Unknown				120					Bug					Unknown				3855				0.6					10.0				50					35					55					25					25					15					205					
267					Beautifly			Bug					Flying				Swarm				Unknown				Rivalry				45					Bug					Unknown				3855				1.0					28.4				60					70					50					90					50					65					385					
268					Cascoon				Bug					Unknown				Shed_Skin			Unknown				Unknown				120					Bug					Unknown				3855				0.7					11.5				50					35					55					25					25					15					205					
269					Dustox				Bug					Poison				Shield_Dust			Unknown				Compound_Eyes		45					Bug					Unknown				3855				1.2					31.6				60					50					70					50					90					65					385					
270					Lotad				Water				Grass				Swift_Swim			Rain_Dish			Own_Tempo			255					Water_1				Grass				3855				0.5					2.6					40					30					30					40					50					30					220					
271					Lombre				Water				Grass				Swift_Swim			Rain_Dish			Own_Tempo			120					Water_1				Grass				3855				1.2					32.5				60					50					50					60					70					50					340					
272					Ludicolo			Water				Grass				Swift_Swim			Rain_Dish			Own_Tempo			45					Water_1				Grass				3855				1.5					55.0				80					70					70					90					100					70					480					
273					Seedot				Grass				Unknown				Chlorophyll			Early_Bird			Pickpocket			255					Field				Grass				3855				0.5					4.0					40					40					50					30					30					30					220					
274					Nuzleaf				Grass				Dark				Chlorophyll			Early_Bird			Pickpocket			120					Field				Grass				3855				1.0					28.0				70					70					40					60					40					60					340					
275					Shiftry				Grass				Dark				Chlorophyll			Early_Bird			Pickpocket			45					Field				Grass				3855				1.3					59.6				90					100					60					90					60					80					480					
276					Taillow				Normal				Flying				Guts				Unknown				Scrappy				200					Flying				Unknown				3855				0.3					2.3					40					55					30					30					30					85					270					
277					Swellow				Normal				Flying				Guts				Unknown				Scrappy				45					Flying				Unknown				3855				0.7					19.8				60					85					60					50					50					125					430					
278					Wingull				Water				Flying				Keen_Eye			Hydration			Rain_Dish			190					Water_1				Flying				5140				0.6					9.5					40					30					30					55					30					85					270					
279					Pelipper			Water				Flying				Keen_Eye			Drizzle				Rain_Dish			45					Water_1				Flying				5140				1.2					28.0				60					50					100					85					70					65					430					
280					Ralts				Psychic				Fairy				Synchronize			Trace				Telepathy			235					Amorphous			Unknown				5140				0.4					6.6					28					25					25					45					35					40					198					
281					Kirlia				Psychic				Fairy				Synchronize			Trace				Telepathy			120					Amorphous			Unknown				5140				0.8					20.2				38					35					35					65					55					50					278					
282					Gardevoir			Psychic				Fairy				Synchronize			Trace				Telepathy			45					Amorphous			Unknown				5140				1.6					48.4				68					65					65					125					115					80					518					
283					Surskit				Bug					Water				Swift_Swim			Unknown				Rain_Dish			200					Water_1				Bug					3855				0.5					1.7					40					30					32					50					52					65					269					
284					Masquerain			Bug					Flying				Intimidate			Unknown				Unnerve				75					Water_1				Bug					3855				0.8					3.6					70					60					62					80					82					60					414					
285					Shroomish			Grass				Unknown				Effect_Spore		Poison_Heal			Quick_Feet			255					Fairy				Grass				3855				0.4					4.5					60					40					60					40					60					35					295					
286					Breloom				Grass				Fighting			Effect_Spore		Poison_Heal			Technician			90					Fairy				Grass				3855				1.2					39.2				60					130					80					60					60					70					460					
287					Slakoth				Normal				Unknown				Truant				Unknown				Unknown				255					Field				Unknown				3855				0.8					24.0				60					60					60					35					35					30					280					
288					Vigoroth			Normal				Unknown				Vital_Spirit		Unknown				Unknown				120					Field				Unknown				3855				1.4					46.5				80					80					80					55					55					90					440					
289					Slaking				Normal				Unknown				Truant				Unknown				Unknown				45					Field				Unknown				3855				2.0					130.5				150					160					100					95					65					100					670					
290					Nincada				Bug					Ground				Compound_Eyes		Unknown				Run_Away			255					Bug					Unknown				3855				0.5					5.5					31					45					90					30					30					40					266					
291					Ninjask				Bug					Flying				Speed_Boost			Unknown				Infiltrator			120					Bug					Unknown				3855				0.8					12.0				61					90					45					50					50					160					456					
292					Shedinja			Bug					Ghost				Wonder_Guard		Unknown				Unknown				45					Mineral				Unknown				3855				0.8					1.2					1					90					45					30					30					40					236					
293					Whismur				Normal				Unknown				Soundproof			Unknown				Rattled				190					Monster				Field				5140				0.6					16.3				64					51					23					51					23					28					240					
294					Loudred				Normal				Unknown				Soundproof			Unknown				Scrappy				120					Monster				Field				5140				1.0					40.5				84					71					43					71					43					48					360					
295					Exploud				Normal				Unknown				Soundproof			Unknown				Scrappy				45					Monster				Field				5140				1.5					84.0				104					91					63					91					63					68					480					
296					Makuhita			Fighting			Unknown				Thick_Fat			Guts				Sheer_Force			180					Human-Like			Unknown				5140				1.0					86.4				72					60					30					20					30					25					237					
297					Hariyama			Fighting			Unknown				Thick_Fat			Guts				Sheer_Force			200					Human-Like			Unknown				5140				2.3					253.8				144					120					60					40					60					50					474					
298					Azurill				Normal				Fairy				Thick_Fat			Huge_Power			Sap_Sipper			150					Undiscovered		Unknown				2570				0.2					2.0					50					20					40					20					40					20					190					
299					Nosepass			Rock				Unknown				Sturdy				Magnet_Pull			Sand_Force			255					Mineral				Unknown				5140				1.0					97.0				30					45					135					45					90					30					375					
300					Skitty				Normal				Unknown				Cute_Charm			Normalize			Wonder_Skin			255					Field				Fairy				3855				0.6					11.0				50					45					45					35					35					50					260					
301					Delcatty			Normal				Unknown				Cute_Charm			Normalize			Wonder_Skin			60					Field				Fairy				3855				1.1					32.6				70					65					65					55					55					70					380					
302					Sableye				Dark				Ghost				Keen_Eye			Stall				Prankster			45					Human-Like			Unknown				6425				0.5					11.0				50					75					75					65					65					50					380					
303					Mawile				Steel				Fairy				Hyper_Cutter		Intimidate			Sheer_Force			45					Field				Fairy				5140				0.6					11.5				50					85					85					55					55					50					380					
304					Aron				Steel				Rock				Sturdy				Rock_Head			Heavy_Metal			180					Monster				Unknown				8995				0.4					60.0				50					70					100					40					40					30					330					
305					Lairon				Steel				Rock				Sturdy				Rock_Head			Heavy_Metal			90					Monster				Unknown				8995				0.9					120.0				60					90					140					50					50					40					430					
306					Aggron				Steel				Rock				Sturdy				Rock_Head			Heavy_Metal			45					Monster				Unknown				8995				2.1					360.0				70					110					180					60					60					50					530					
307					Meditite			Fighting			Psychic				Pure_Power			Unknown				Telepathy			180					Human-Like			Unknown				5140				0.6					11.2				30					40					55					40					55					60					280					
308					Medicham			Fighting			Psychic				Pure_Power			Unknown				Telepathy			90					Human-Like			Unknown				5140				1.3					31.5				60					60					75					60					75					80					410					
309					Electrike			Electric			Unknown				Static				Lightning_Rod		Minus				120					Field				Unknown				5140				0.6					15.2				40					45					40					65					40					65					295					
310					Manectric			Electric			Unknown				Static				Lightning_Rod		Minus				45					Field				Unknown				5140				1.5					40.2				70					75					60					105					60					105					475					
311					Plusle				Electric			Unknown				Plus				Unknown				Lightning_Rod		200					Fairy				Unknown				5140				0.4					4.2					60					50					40					85					75					95					405					
312					Minun				Electric			Unknown				Minus				Unknown				Volt_Absorb			200					Fairy				Unknown				5140				0.4					4.2					60					40					50					75					85					95					405					
313					Volbeat				Bug					Unknown				Illuminate			Swarm				Prankster			150					Bug					Human-Like			3855				0.7					17.7				65					73					55					47					75					85					400					
314					Illumise			Bug					Unknown				Oblivious			Tinted_Lens			Prankster			150					Bug					Human-Like			3855				0.6					17.7				65					47					55					73					75					85					400					
315					Roselia				Grass				Poison				Natural_Cure		Poison_Point		Leaf_Guard			150					Fairy				Grass				5140				0.3					2.0					50					60					45					100					80					65					400					
316					Gulpin				Poison				Unknown				Liquid_Ooze			Sticky_Hold			Gluttony			225					Amorphous			Unknown				5140				0.4					10.3				70					43					53					43					53					40					302					
317					Swalot				Poison				Unknown				Liquid_Ooze			Sticky_Hold			Gluttony			75					Amorphous			Unknown				5140				1.7					80.0				100					73					83					73					83					55					467					
318					Carvanha			Water				Dark				Rough_Skin			Unknown				Speed_Boost			225					Water_2				Unknown				5140				0.8					20.8				45					90					20					65					20					65					305					
319					Sharpedo			Water				Dark				Rough_Skin			Unknown				Speed_Boost			60					Water_2				Unknown				5140				1.8					88.8				70					120					40					95					40					95					460					
320					Wailmer				Water				Unknown				Water_Veil			Oblivious			Pressure			125					Field				Water_2				10280				2.0					130.0				130					70					35					70					35					60					400					
321					Wailord				Water				Unknown				Water_Veil			Oblivious			Pressure			60					Field				Water_2				10280				14.5				398.0				170					90					45					90					45					60					500					
322					Numel				Fire				Ground				Oblivious			Simple				Own_Tempo			255					Field				Unknown				5140				0.7					24.0				60					60					40					65					45					35					305					
323					Camerupt			Fire				Ground				Magma_Armor			Solid_Rock			Anger_Point			150					Field				Unknown				5140				1.9					220.0				70					100					70					105					75					40					460					
324					Torkoal				Fire				Unknown				White_Smoke			Drought				Shell_Armor			90					Field				Unknown				5140				0.5					80.4				70					85					140					85					70					20					470					
325					Spoink				Psychic				Unknown				Thick_Fat			Own_Tempo			Gluttony			255					Field				Unknown				5140				0.7					30.6				60					25					35					70					80					60					330					
326					Grumpig				Psychic				Unknown				Thick_Fat			Own_Tempo			Gluttony			60					Field				Unknown				5140				0.9					71.5				80					45					65					90					110					80					470					
327					Spinda				Normal				Unknown				Own_Tempo			Tangled_Feet		Contrary			255					Field				Human-Like			3855				1.1					5.0					60					60					60					60					60					60					360					
328					Trapinch			Ground				Unknown				Hyper_Cutter		Arena_Trap			Sheer_Force			255					Bug					Unknown				5140				0.7					15.0				45					100					45					45					45					10					290					
329					Vibrava				Ground				Dragon				Levitate			Unknown				Unknown				120					Bug					Unknown				5140				1.1					15.3				50					70					50					50					50					70					340					
330					Flygon				Ground				Dragon				Levitate			Unknown				Unknown				45					Bug					Unknown				5140				2.0					82.0				80					100					80					80					80					100					520					
331					Cacnea				Grass				Unknown				Sand_Veil			Unknown				Water_Absorb		190					Grass				Human-Like			5140				0.4					51.3				50					85					40					85					40					35					335					
332					Cacturne			Grass				Dark				Sand_Veil			Unknown				Water_Absorb		60					Grass				Human-Like			5140				1.3					77.4				70					115					60					115					60					55					475					
333					Swablu				Normal				Flying				Natural_Cure		Unknown				Cloud_Nine			255					Flying				Dragon				5140				0.4					1.2					45					40					60					40					75					50					310					
334					Altaria				Dragon				Flying				Natural_Cure		Unknown				Cloud_Nine			45					Flying				Dragon				5140				1.1					20.6				75					70					90					70					105					80					490					
335					Zangoose			Normal				Unknown				Immunity			Unknown				Toxic_Boost			90					Field				Unknown				5140				1.3					40.3				73					115					60					60					60					90					458					
336					Seviper				Poison				Unknown				Shed_Skin			Unknown				Infiltrator			90					Field				Dragon				5140				2.7					52.5				73					100					60					100					60					65					458					
337					Lunatone			Rock				Psychic				Levitate			Unknown				Unknown				45					Mineral				Unknown				6425				1.0					168.0				70					55					65					95					85					70					440					
338					Solrock				Rock				Psychic				Levitate			Unknown				Unknown				45					Mineral				Unknown				6425				1.2					154.0				70					95					85					55					65					70					440					
339					Barboach			Water				Ground				Oblivious			Anticipation		Hydration			190					Water_2				Unknown				5140				0.4					1.9					50					48					43					46					41					60					288					
340					Whiscash			Water				Ground				Oblivious			Anticipation		Hydration			75					Water_2				Unknown				5140				0.9					23.6				110					78					73					76					71					60					468					
341					Corphish			Water				Unknown				Hyper_Cutter		Shell_Armor			Adaptability		205					Water_1				Water_3				3855				0.6					11.5				43					80					65					50					35					35					308					
342					Crawdaunt			Water				Dark				Hyper_Cutter		Shell_Armor			Adaptability		155					Water_1				Water_3				3855				1.1					32.8				63					120					85					90					55					55					468					
343					Baltoy				Ground				Psychic				Levitate			Unknown				Unknown				255					Mineral				Unknown				5140				0.5					21.5				40					40					55					40					70					55					300					
344					Claydol				Ground				Psychic				Levitate			Unknown				Unknown				90					Mineral				Unknown				5140				1.5					107.9				60					70					105					70					120					75					500					
345					Lileep				Rock				Grass				Suction_Cups		Unknown				Storm_Drain			45					Water_3				Unknown				7710				1.0					23.8				66					41					77					61					87					23					355					
346					Cradily				Rock				Grass				Suction_Cups		Unknown				Storm_Drain			45					Water_3				Unknown				7710				1.5					60.4				86					81					97					81					107					43					495					
347					Anorith				Rock				Bug					Battle_Armor		Unknown				Swift_Swim			45					Water_3				Unknown				7710				0.7					12.5				45					95					50					40					50					75					355					
348					Armaldo				Rock				Bug					Battle_Armor		Unknown				Swift_Swim			45					Water_3				Unknown				7710				1.5					68.2				75					125					100					70					80					45					495					
349					Feebas				Water				Unknown				Swift_Swim			Oblivious			Adaptability		255					Water_1				Dragon				5140				0.6					7.4					20					15					20					10					55					80					200					
350					Milotic				Water				Unknown				Marvel_Scale		Competitive			Cute_Charm			60					Water_1				Dragon				5140				6.2					162.0				95					60					79					100					125					81					540					
351					Castform			Normal				Unknown				Forecast			Unknown				Unknown				45					Fairy				Amorphous			6425				0.3					0.8					70					70					70					70					70					70					420					
352					Kecleon				Normal				Unknown				Color_Change		Unknown				Protean				200					Field				Unknown				5140				1.0					22.0				60					90					70					60					120					40					440					
353					Shuppet				Ghost				Unknown				Insomnia			Frisk				Cursed_Body			225					Amorphous			Unknown				6425				0.6					2.3					44					75					35					63					33					45					295					
354					Banette				Ghost				Unknown				Insomnia			Frisk				Cursed_Body			45					Amorphous			Unknown				6425				1.1					12.5				64					115					65					83					63					65					455					
355					Duskull				Ghost				Unknown				Levitate			Unknown				Frisk				190					Amorphous			Unknown				6425				0.8					15.0				20					40					90					30					90					25					295					
356					Dusclops			Ghost				Unknown				Pressure			Unknown				Frisk				90					Amorphous			Unknown				6425				1.6					30.6				40					70					130					60					130					25					455					
357					Tropius				Grass				Flying				Chlorophyll			Solar_Power			Harvest				200					Monster				Grass				6425				2.0					100.0				99					68					83					72					87					51					460					
358					Chimecho			Psychic				Unknown				Levitate			Unknown				Unknown				45					Amorphous			Unknown				6425				0.6					1.0					65					50					70					95					80					65					425					
359					Absol				Dark				Unknown				Pressure			Super_Luck			Justified			30					Field				Unknown				6425				1.2					47.0				65					130					60					75					60					75					465					
360					Wynaut				Psychic				Unknown				Shadow_Tag			Unknown				Telepathy			125					Undiscovered		Unknown				5140				0.6					14.0				95					23					48					23					48					23					260					
361					Snorunt				Ice					Unknown				Inner_Focus			Ice_Body			Moody				190					Fairy				Mineral				5140				0.7					16.8				50					50					50					50					50					50					300					
362					Glalie				Ice					Unknown				Inner_Focus			Ice_Body			Moody				75					Fairy				Mineral				5140				1.5					256.5				80					80					80					80					80					80					480					
363					Spheal				Ice					Water				Thick_Fat			Ice_Body			Oblivious			255					Water_1				Field				5140				0.8					39.5				70					40					50					55					50					25					290					
364					Sealeo				Ice					Water				Thick_Fat			Ice_Body			Oblivious			120					Water_1				Field				5140				1.1					87.6				90					60					70					75					70					45					410					
365					Walrein				Ice					Water				Thick_Fat			Ice_Body			Oblivious			45					Water_1				Field				5140				1.4					150.6				110					80					90					95					90					65					530					
366					Clamperl			Water				Unknown				Shell_Armor			Unknown				Rattled				255					Water_1				Unknown				5140				0.4					52.5				35					64					85					74					55					32					345					
367					Huntail				Water				Unknown				Swift_Swim			Unknown				Water_Veil			60					Water_1				Unknown				5140				1.7					27.0				55					104					105					94					75					52					485					
368					Gorebyss			Water				Unknown				Swift_Swim			Unknown				Hydration			60					Water_1				Unknown				5140				1.8					22.6				55					84					105					114					75					52					485					
369					Relicanth			Water				Rock				Swift_Swim			Rock_Head			Sturdy				25					Water_1				Water_2				10280				1.0					23.4				100					90					130					45					65					55					485					
370					Luvdisc				Water				Unknown				Swift_Swim			Unknown				Hydration			225					Water_2				Unknown				5140				0.6					8.7					43					30					55					40					65					97					330					
371					Bagon				Dragon				Unknown				Rock_Head			Unknown				Sheer_Force			45					Dragon				Unknown				10280				0.6					42.1				45					75					60					40					30					50					300					
372					Shelgon				Dragon				Unknown				Rock_Head			Unknown				Overcoat			45					Dragon				Unknown				10280				1.1					110.5				65					95					100					60					50					50					420					
373					Salamence			Dragon				Flying				Intimidate			Unknown				Moxie				45					Dragon				Unknown				10280				1.5					102.6				95					135					80					110					80					100					600					
374					Beldum				Steel				Psychic				Clear_Body			Unknown				Light_Metal			3					Mineral				Unknown				10280				0.6					95.2				40					55					80					35					60					30					300					
375					Metang				Steel				Psychic				Clear_Body			Unknown				Light_Metal			3					Mineral				Unknown				10280				1.2					202.5				60					75					100					55					80					50					420					
376					Metagross			Steel				Psychic				Clear_Body			Unknown				Light_Metal			3					Mineral				Unknown				10280				1.6					550.0				80					135					130					95					90					70					600					
377					Regirock			Rock				Unknown				Clear_Body			Unknown				Sturdy				3					Undiscovered		Unknown				20560				1.7					230.0				80					100					200					50					100					50					580					
378					Regice				Ice					Unknown				Clear_Body			Unknown				Ice_Body			3					Undiscovered		Unknown				20560				1.8					175.0				80					50					100					100					200					50					580					
